同花顺iFinD,399905.SZ
,中证500
日期,涨跌幅
2021-07-07,0.8143 
2021-07-08,-0.2288 
2021-07-09,0.8281 
2021-07-12,1.4673 
2021-07-13,0.8323 
2021-07-14,-0.9063 
2021-07-15,0.4879 
2021-07-16,-0.1051 
2021-07-19,-0.5168 
2021-07-20,0.1712 
2021-07-21,1.2086 
2021-07-22,0.6014 
2021-07-23,-0.5806 
2021-07-26,-1.6826 
2021-07-27,-2.1687 
2021-07-28,-1.4476 
2021-07-29,2.0674 
2021-07-30,0.1247 
2021-08-02,1.5469 
2021-08-03,-0.8148 
2021-08-04,1.6920 
2021-08-05,-0.2814 
2021-08-06,0.3912 
2021-08-09,0.5859 
2021-08-10,0.5688 
2021-08-11,0.7735 
2021-08-12,0.3065 
2021-08-13,-0.0890 
2021-08-16,-0.5135 
2021-08-17,-2.2415 
2021-08-18,0.6760 
2021-08-19,0.0871 
2021-08-20,-0.3891 
2021-08-23,1.5107 
2021-08-24,0.9426 
2021-08-25,0.8775 
2021-08-26,-0.4776 
2021-08-27,0.8606 
2021-08-30,0.6514 
2021-08-31,0.3938 
2021-09-01,-0.8579 
2021-09-02,1.5836 
2021-09-03,-0.3877 
2021-09-06,1.0540 
2021-09-07,1.9513 
2021-09-08,0.6016 
2021-09-09,0.9731 
2021-09-10,-0.1283 
2021-09-13,0.5399 
2021-09-14,-1.2045 
2021-09-15,0.4723 
2021-09-16,-1.9147 
2021-09-17,-0.6898 
2021-09-22,0.7851 
2021-09-23,0.6603 
2021-09-24,-1.6321 
2021-09-27,-2.8426 
2021-09-28,0.3948 
2021-09-29,-2.6209 
2021-09-30,1.3322 
2021-10-08,-0.1728 
2021-10-11,-0.0122 
2021-10-12,-1.9502 
2021-10-13,0.4230 
2021-10-14,0.3830 
2021-10-15,0.2258 
2021-10-18,0.6256 
2021-10-19,0.7396 
2021-10-20,-0.0222 
2021-10-21,-0.2886 
2021-10-22,-1.0170 
2021-10-25,1.1090 
2021-10-26,-0.0218 
2021-10-27,-0.7579 
2021-10-28,-1.3950 
2021-10-29,1.0391 
2021-11-01,0.5448 
2021-11-02,-1.0715 
2021-11-03,0.4689 
2021-11-04,0.7979 
2021-11-05,-1.1584 
2021-11-08,0.5015 
2021-11-09,0.7796 
2021-11-10,-0.2743 
2021-11-11,0.8146 
2021-11-12,0.5162 
2021-11-15,-0.8160 
2021-11-16,-0.7364 
2021-11-17,0.8316 
2021-11-18,-0.2794 
2021-11-19,1.2025 
2021-11-22,1.1883 
2021-11-23,0.0869 
2021-11-24,-0.0725 
2021-11-25,-0.3110 
2021-11-26,-0.1891 
2021-11-29,0.0282 
2021-11-30,0.4273 
2021-12-01,0.2769 
2021-12-02,-0.5892 
2021-12-03,0.9949 
2021-12-06,-0.8417 
2021-12-07,-0.4645 
2021-12-08,1.3344 
2021-12-09,0.2373 
2021-12-10,-0.1868 
2021-12-13,0.6348 
2021-12-14,-0.3930 
2021-12-15,-0.1348 
2021-12-16,0.9124 
2021-12-17,-0.9001 
2021-12-20,-1.6212 
2021-12-21,1.1047 
2021-12-22,0.3710 
2021-12-23,0.4756 
2021-12-24,-0.7964 
2021-12-27,-0.0825 
2021-12-28,0.1827 
2021-12-29,-0.5251 
2021-12-30,0.8718 
2021-12-31,0.6626 
2022-01-04,-0.0672 
2022-01-05,-1.7919 
2022-01-06,0.1009 
2022-01-07,-0.7508 
2022-01-10,0.2198 
2022-01-11,-0.7819 
2022-01-12,0.8649 
2022-01-13,-1.3780 
2022-01-14,-0.2341 
2022-01-17,1.0834 
2022-01-18,0.0740 
2022-01-19,-0.6198 
2022-01-20,-0.8706 
2022-01-21,-1.1361 
2022-01-24,0.0377 
2022-01-25,-3.3713 
2022-01-26,0.5727 
2022-01-27,-2.6046 
2022-01-28,-0.3843 
2022-02-07,1.4601 
2022-02-08,0.9822 
2022-02-09,1.4956 
2022-02-10,-0.0371 
2022-02-11,-1.3955 
2022-02-14,-0.7313 
2022-02-15,0.9645 
2022-02-16,0.1739 
2022-02-17,-0.0479 
2022-02-18,0.9785 
2022-02-21,0.4695 
2022-02-22,-1.1992 
2022-02-23,1.5131 
2022-02-24,-1.7793 
2022-02-25,0.8065 
2022-02-28,0.4968 
2022-03-01,0.3026 
2022-03-02,0.0174 
2022-03-03,-0.2282 
2022-03-04,-0.8123 
2022-03-07,-2.1230 
2022-03-08,-3.4463 
2022-03-09,-1.9328 
2022-03-10,1.7339 
2022-03-11,0.9226 
2022-03-14,-2.3254 
2022-03-15,-5.6708 
2022-03-16,3.2069 
2022-03-17,1.8071 
2022-03-18,1.0322 
2022-03-21,0.4221 
2022-03-22,-0.0131 
2022-03-23,0.6290 
2022-03-24,-0.8438 
2022-03-25,-1.1960 
2022-03-28,0.2400 
2022-03-29,-0.4808 
2022-03-30,1.9959 
2022-03-31,-0.8296 
2022-04-01,0.6255 
2022-04-06,-0.1193 
2022-04-07,-2.1290 
2022-04-08,0.0406 
2022-04-11,-3.1205 
2022-04-12,1.6089 
2022-04-13,-1.3478 
2022-04-14,1.3594 
2022-04-15,-0.9098 
2022-04-18,0.0537 
2022-04-19,0.3028 
2022-04-20,-2.2237 
2022-04-21,-3.3091 
2022-04-22,-0.3267 
2022-04-25,-6.4670 
2022-04-26,-2.5273 
2022-04-27,3.8791 
2022-04-28,-0.3361 
2022-04-29,3.8595 
2022-05-05,1.0448 
2022-05-06,-2.1618 
2022-05-09,0.8043 
2022-05-10,1.4544 
2022-05-11,0.8388 
2022-05-12,0.0921 
2022-05-13,0.9350 
2022-05-16,-0.0987 
2022-05-17,0.4361 
2022-05-18,-0.3241 
2022-05-19,0.7058 
2022-05-20,1.5600 
2022-05-23,0.6112 
2022-05-24,-3.6886 
2022-05-25,1.7157 
2022-05-26,1.1517 
2022-05-27,-0.1970 
2022-05-30,0.7274 
2022-05-31,1.4035 
2022-06-01,-0.0430 
2022-06-02,0.9096 
2022-06-06,1.7934 
2022-06-07,-0.0142 
2022-06-08,0.5053 
2022-06-09,-1.4015 
2022-06-10,1.7847 
2022-06-13,-0.1039 
2022-06-14,0.6729 
2022-06-15,-0.2311 
2022-06-16,0.0601 
2022-06-17,0.8218 
2022-06-20,0.2230 
2022-06-21,-0.8434 
2022-06-22,-1.5522 
2022-06-23,1.9565 
2022-06-24,1.0762 
2022-06-27,0.6197 
2022-06-28,1.4608 
2022-06-29,-1.9543 
2022-06-30,1.2516 
2022-07-01,-0.2408 
2022-07-04,1.3139 
2022-07-05,-0.1779 
2022-07-06,-1.4280 
2022-07-07,0.5366 
2022-07-08,-0.7523 
2022-07-11,-1.3319 
2022-07-12,-1.2290 
2022-07-13,0.4328 
2022-07-14,0.5414 
2022-07-15,-1.6761 
2022-07-18,1.8648 
2022-07-19,0.3700 
2022-07-20,1.1838 
2022-07-21,-0.9845 
2022-07-22,-0.9148 
2022-07-25,-0.9269 
2022-07-26,1.2312 
2022-07-27,0.3849 
2022-07-28,0.2516 
2022-07-29,-0.8514 
2022-08-01,0.8438 
2022-08-02,-2.7922 
2022-08-03,-0.7404 
2022-08-04,0.5620 
2022-08-05,1.8149 
2022-08-08,0.8383 
2022-08-09,0.2911 
2022-08-10,-0.3063 
2022-08-11,1.8555 
2022-08-12,-0.2874 
2022-08-15,0.3420 
2022-08-16,0.3473 
2022-08-17,0.4380 
2022-08-18,-0.3804 
2022-08-19,-1.1917 
2022-08-22,1.2667 
2022-08-23,-0.0970 
2022-08-24,-2.8119 
2022-08-25,0.6066 
2022-08-26,-0.3847 
2022-08-29,0.1910 
2022-08-30,-0.3878 
2022-08-31,-2.0710 
2022-09-01,-0.4707 
2022-09-02,0.3698 
2022-09-05,0.5402 
2022-09-06,1.7618 
2022-09-07,0.1588 
2022-09-08,-0.4600 
2022-09-09,0.7078 
2022-09-13,-0.2620 
2022-09-14,-0.8009 
2022-09-15,-2.2747 
2022-09-16,-2.5098 
2022-09-19,-0.6945 
2022-09-20,0.7634 
2022-09-21,0.3405 
2022-09-22,-0.2124 
2022-09-23,-1.2787 
2022-09-26,-1.4141 
2022-09-27,1.9588 
2022-09-28,-2.5428 
2022-09-29,0.0409 
2022-09-30,-1.0017 
2022-10-10,-1.3712 
2022-10-11,0.8658 
2022-10-12,2.3915 
2022-10-13,0.1698 
2022-10-14,2.4545 
2022-10-17,0.7057 
2022-10-18,0.3338 
2022-10-19,-1.0430 
2022-10-20,-0.3995 
2022-10-21,0.1348 
2022-10-24,-1.0069 
2022-10-25,-0.4599 
2022-10-26,1.7346 
2022-10-27,-0.1440 
2022-10-28,-3.0388 
2022-10-31,0.4377 
2022-11-01,2.3082 
2022-11-02,0.9537 
2022-11-03,-0.0181 
2022-11-04,2.2803 
2022-11-07,0.1295 
2022-11-08,-0.1165 
2022-11-09,-0.2189 
2022-11-10,-0.5086 
2022-11-11,0.8034 
2022-11-14,-0.1484 
2022-11-15,1.7435 
2022-11-16,-0.5206 
2022-11-17,0.2142 
2022-11-18,-0.4111 
2022-11-21,-0.0313 
2022-11-22,-1.0390 
2022-11-23,-0.1599 
2022-11-24,0.0729 
2022-11-25,-0.5262 
2022-11-28,-0.5351 
2022-11-29,1.7924 
2022-11-30,-0.1245 
2022-12-01,0.4866 
2022-12-02,-0.2924 
2022-12-05,0.7638 
2022-12-06,-0.0623 
2022-12-07,-0.1167 
2022-12-08,-0.2856 
2022-12-09,0.0973 
2022-12-12,-0.6055 
2022-12-13,-0.5386 
2022-12-14,-0.4129 
2022-12-15,0.0901 
2022-12-16,-0.4755 
2022-12-19,-2.2459 
2022-12-20,-0.9845 
2022-12-21,-0.5477 
2022-12-22,-1.1423 
2022-12-23,-0.2718 
2022-12-26,1.3865 
2022-12-27,0.7257 
2022-12-28,-0.4004 
2022-12-29,-0.0801 
2022-12-30,0.1206 
